Game #,Start SR,End SR,Team SR avg,Enemy SR avg,Result,Streak,Leaver,Gold medals,Silver medals,Bronze medals
1,2030,2048,2059,2064,Win,1,No,,,
2,2048,2071,2045,2015,Win,2,No,,,
3,2071,2098,2054,2068,Win,3,No,,,
4,2098,2076,,,Loss,-1,My team,,,
5,2076,2101,2053,2051,Win,1,No,,,
6,2101,2129,2005,2055,Win,2,No,2,,
7,2129,2154,2123,2073,Win,3,No,0,,
8,2154,2136,2116,2136,Loss,-1,No,1,,
9,2136,2157,2098,2074,Win,1,No,0,,
10,2157,2139,2087,2022,Loss,-1,No,1,,
11,2139,2167,2130,2126,Win,1,No,1,,
12,2167,2145,2171,2154,Loss,-1,No,1,,
13,2145,2170,2102,2092,Win,1,No,1,,
14,2170,2197,2224,2225,Win,2,No,2,,
15,2197,2179,2209,2230,Loss,-1,No,1,,
16,2179,2202,2143,2158,Win,1,No,1,,
17,2202,2225,2178,2181,Win,2,No,1,,
18,2225,2248,2231,2237,Win,3,No,1,,
19,2248,2224,2244,2228,Loss,-1,No,1,,
20,2224,2242,2164,2064,Win,1,No,1,,
21,2242,2265,P,P,Win,2,No,1,,
22,2265,2289,2270,2223,Win,3,No,1,,
23,2289,2320,2271,2306,Win,4,No,1,,
24,2320,2295,2309,2251,Loss,-1,No,1,,
25,2295,2321,2262,2236,Win,1,No,3,,
26,2321,2345,2309,2306,Win,2,No,1,,
27,2345,2323,2402,2406,Loss,-1,No,1,,
28,2323,2343,2284,2282,Win,1,No,1,,
29,2343,2362,P,P,Win,2,No,1,,
30,2362,2387,2328,2284,Win,3,No,1,,
31,2387,2413,2392,2406,Win,4,No,2,,
32,2413,2447,2419,2487,Win,5,No,1,,
33,2447,2489,P,P,Win,6,No,0,,
34,2489,2522,2451,2436,Win,7,Enemy team,1,,
35,2522,2571,2448,2494,Win,8,No,1,,
36,2571,2623,2628,2601,Win,9,No,1,,
37,2623,2597,2567,2566,Loss,-1,No,0,,
38,2597,2572,2593,2582,Loss,-2,No,0,,
39,2572,2596,2555,2572,Win,1,No,3,0,0
40,2596,2572,2593,2580,Loss,-1,No,1,0,3
41,2572,2546,2563,2564,Loss,-2,No,0,2,0
42,2546,2568,2479,2469,Win,1,No,0,1,0
43,2568,2568,2568,2627,Draw,0,No,1,1,0
44,2568,2593,2572,2601,Win,1,No,3,0,0
45,2593,2567,2583,2599,Loss,-1,No,1,1,0
46,2567,2595,2472,2492,Win,1,No,3,0,0
47,2595,2571,2627,2588,Loss,-1,No,1,1,1
48,2571,2596,2692,2687,Win,1,No,1,2,0
49,2596,2568,2600,2592,Loss,-1,No,0,2,1
50,2568,2586,2548,2562,Win,1,No,0,2,1
51,2586,2606,2603,2584,Win,2,No,2,1,0
52,2606,2576,2598,2600,Loss,-1,No,0,2,1
53,2576,2549,2595,2576,Loss,-2,No,0,1,1
54,2549,2516,2567,P,Loss,-3,No,1,0,3
55,2516,2533,2492,2538,Win,1,No,1,1,1
56,2533,2507,2496,2536,Loss,-1,No,1,1,1
57,2507,2485,2509,2450,Loss,-2,No,0,0,0
58,2485,2456,2451,2484,Loss,-3,No,2,0,0
59,2456,2428,2403,2443,Loss,-4,No,0,1,1
60,2428,2394,2467,2477,Loss,-5,No,0,2,2
61,2394,2355,,,Loss,-6,,,,
62,2355,2312,2383,2439,Loss,-7,No,2,0,1
63,2312,2267,2239,2272,Loss,-8,No,0,1,0
64,2267,2208,2242,2246,Loss,-9,No,1,1,0
65,2208,2144,2180,2153,Loss,-10,No,3,1,1
66,2144,2067,2109,2132,Loss,-11,No,0,2,1
67,2067,2067,2051,2002,Draw,0,No,0,1,1
68,2067,1997,2054,2057,Loss,-1,No,2,0,0
69,1997,1883,1999,1991,Loss,-2,No,1,2,0
70,1883,1883,1899,1905,Loss,0,No,0,1,0
71,1883,1903,1894,1892,Win,1,No,1,1,2
72,1903,1903,1890,1899,Draw,0,No,0,1,1
73,1903,1926,1899,1900,Win,1,No,2,1,0
74,1926,1948,1874,1875,Win,2,No,2,1,0
75,1948,1948,1950,1910,Draw,0,No,0,0,2
76,1948,1931,1943,1949,Loss,-1,My team,2,0,2
77,1931,1908,1938,1898,Loss,-2,No,1,1,0
78,1908,1887,1863,1863,Loss,-3,No,2,1,0
79,1887,1863,1870,1886,Loss,-4,No,1,0,3
80,1863,1832,1850,1841,Loss,-5,No,1,1,1
81,1832,1803,1779,1827,Loss,-6,No,1,0,1
82,1803,1824,1775,1716,Win,1,No,1,,1
83,1824,1847,1834,1791,Win,2,Enemy team,1,1,0
84,1847,1823,1811,1816,Loss,-1,No,3,0,0
85,1823,1848,1831,1815,Win,1,No,2,0,2
86,1848,1824,P,P,Loss,-1,No,0,0,1
87,1824,1800,1782,1799,Loss,-2,No,,,
88,1800,1819,1780,1700,Win,1,No,3,0,0
89,1819,1836,1855,1863,Win,2,No,1,0,1
90,1836,1863,1812,1815,Win,3,No,1,0,0
91,1863,1883,1931,P,Win,4,No,0,2,2
92,1883,1862,1861,1884,Loss,-1,No,2,2,0
93,1862,1891,1887,1894,Win,1,No,1,0,1
94,1891,1916,P,P,Win,2,No,1,0,1
95,1916,1916,1865,1804,Draw,0,No,2,0,1
96,1916,1939,1889,1884,Win,1,No,2,1,0
97,1939,1963,1949,1925,Win,2,No,1,0,1
98,1963,1943,1926,1921,Loss,-1,No,1,1,1
99,1943,1943,1932,1891,Draw,0,No,3,0,1
100,1943,1919,1960,1921,Loss,-1,No,2,1,1
101,1919,1943,P,1886,Win,1,No,2,1,1
102,1943,1919,1925,1892,Loss,-1,No,3,0,0
103,1919,1892,1897,1877,Loss,-2,No,1,1,1
104,1892,1870,1886,1898,Loss,-3,No,0,1,0
105,1870,1846,1858,1826,Loss,-4,No,2,1,1
106,1846,1809,1840,1831,Loss,-5,No,1,1,2
107,1809,1768,1775,1748,Loss,-6,No,0,1,0
108,1768,1787,1788,1746,Win,1,Enemy team,2,2,1
109,1787,1807,1817,1747,Win,2,Enemy team,3,0,0
110,1807,1834,1817,1725,Win,3,Enemy team,1,0,1
111,1834,1807,1825,1814,Loss,-1,No,1,0,0
112,1807,1826,1830,P,Win,1,No,0,2,0
113,1826,1851,1786,1804,Win,2,No,0,1,0
114,1851,1828,1838,1774,Loss,-1,No,1,0,0
115,1828,1828,1776,1764,Draw,0,No,2,1,0
116,1828,1853,1669,P,Win,1,No,3,0,1
117,1853,1874,1818,1764,Win,2,No,,,
118,1874,1849,1843,1852,Loss,-1,No,1,2,0
