Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Result,Streak,Leaver,Gold medals,Silver medals,Bronze medals
1,1555,1595,40,1522,1523,Win,1,No,1,0,1
2,1595,1583,-12,1595,1639,Loss,-1,No,3,0,0
3,1583,1620,37,,,Win,1,Enemy team,1,1,0
4,1620,1658,38,1686,1631,Win,2,No,0,1,0
5,1658,1658,0,1610,1626,Draw,0,No,0,1,1
6,1658,1698,40,1625,1631,Win,1,No,2,1,0
7,1698,1749,51,1654,1740,Win,2,No,1,1,3
8,1749,1803,54,1724,1694,Win,3,No,1,2,0
9,1803,1859,56,1813,1815,Win,4,No,0,0,0
10,1859,1936,77,1844,1797,Win,5,No,1,1,1
11,1936,1914,-22,1767,1759,Loss,-1,No,0,1,0
12,1914,1944,30,1829,1826,Win,1,No,0,1,0
13,1944,1921,-23,1888,1881,Loss,-1,No,0,2,1
14,1921,1904,-17,1869,1871,Loss,-2,No,1,1,0
15,1904,1882,-22,1864,1876,Loss,-3,No,2,1,0
16,1882,1858,-24,1832,1813,Loss,-4,No,1,0,0
17,1858,1826,-32,1789,1795,Loss,-5,No,1,0,1
18,1826,1857,31,1743,1824,Win,1,No,2,0,1
19,1857,1857,0,1796,1766,Draw,0,No,0,0,3
20,1857,1886,29,1757,1773,Win,1,No,1,0,0
21,1886,1867,-19,1830,1826,Loss,-1,No,0,0,0
22,1867,1897,30,1822,1766,Win,1,No,1,0,0
23,1897,1897,0,1867,1844,Draw,0,No,1,0,0
24,1897,1897,0,1885,1902,Draw,0,No,2,0,2
25,1897,1924,27,1810,1838,Win,1,Enemy team,1,0,1
26,1924,1905,-19,1815,1801,Loss,-1,No,0,0,2
27,1905,1934,29,1806,1761,Win,1,No,1,0,1
28,1934,1913,-21,1944,1922,Loss,-1,No,1,2,0
29,1913,1943,30,1861,1837,Win,1,Enemy team,0,1,1
30,1943,1919,-24,1837,1841,Loss,-1,No,1,1,1
31,1919,1945,26,1901,1839,Win,1,No,0,2,0
32,1945,1976,31,1853,1823,Win,2,No,0,2,0
33,1976,1956,-20,1926,1899,Loss,-1,No,1,1,1
34,1956,1927,-29,1873,1838,Loss,-2,No,0,0,1
35,1927,1902,-25,1845,1824,Loss,-3,No,2,1,0
36,1902,1925,23,1825,1748,Win,1,No,0,0,2
37,1925,1953,28,1878,1870,Win,2,No,0,3,0
38,1953,1931,-22,1871,1827,Loss,-1,No,0,1,1
